name,playcount,listeners,mbid,url,streamable,tags
Rihanna,325013857,6183362,db36a76f-4cdf-43ac-8cd0-5e48092d2bae,https://www.last.fm/music/Rihanna,0,"pop, rnb, female vocalists"
Kanye West,782852538,6054368,164f0d73-1234-4e2c-8743-d77bf2191051,https://www.last.fm/music/Kanye+West,0,"Hip-Hop, rap, hip hop"
Arctic Monkeys,545681804,5089478,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,https://www.last.fm/music/Arctic+Monkeys,0,"indie rock, indie, british"
Drake,480396742,4997219,b49b81cc-d5b7-4bdd-aadb-385df8de69a6,https://www.last.fm/music/Drake,0,"Hip-Hop, rap, rnb"
Beyoncé,341592457,4981457,859d0860-d480-4efd-970c-c05d5f1776b8,https://www.last.fm/music/Beyonc%C3%A9,0,"rnb, pop, female vocalists"
Taylor Swift,1422328684,4035149,20244d07-534f-4eff-b4d4-930878889970,https://www.last.fm/music/Taylor+Swift,0,"country, pop, female vocalists"
Lana Del Rey,670476082,3465037,b7539c32-53e7-4908-bda3-81449c367da6,https://www.last.fm/music/Lana+Del+Rey,0,"female vocalists, indie, indie pop"
The Weeknd,484164363,3340045,c8b03190-306c-4120-bb0b-6f2ebfc06ea9,https://www.last.fm/music/The+Weeknd,0,"rnb, electronic, dubstep"
Kendrick Lamar,393241964,3068092,381086ea-f511-4aba-bdf9-71c753dc5077,https://www.last.fm/music/Kendrick+Lamar,0,"Hip-Hop, rap, seen live"
Frank Ocean,354026336,2661906,e520459c-dff4-491d-a6e4-c97be35e0044,https://www.last.fm/music/Frank+Ocean,0,"rnb, soul, Hip-Hop"
"Tyler, the Creator",392773262,2373326,f6beac20-5dfe-4d1f-ae02-0b0a740aafd6,"https://www.last.fm/music/Tyler,+the+Creator",0,"Hip-Hop, rap, ofwgkta"
Billie Eilish,270627802,2267770,,https://www.last.fm/music/Billie+Eilish,0,"pop, indie pop, female vocalists"
Doja Cat,203888037,1982236,5df62a88-cac9-490a-b62c-c7c88f4020f4,https://www.last.fm/music/Doja+Cat,0,"pop, rnb, rap"
SZA,213981644,1935814,272989c8-5535-492d-a25c-9f58803e027f,https://www.last.fm/music/SZA,0,"soul, rnb, electronic"
Metro Boomin,82954526,1227997,,https://www.last.fm/music/Metro+Boomin,0,"trap, Hip-Hop, hip hop"
